PASS: AGENTS.md exists
PASS: THREAD_LEDGER.md exists
PASS: AGENTS includes required strings | CLAUDE.md, micro path, interloop
PASS: Required sections present | Required Session Header, Trigger Map, Claims Discipline
PASS: AGENTS skill path check | adaptive-self-heal-orchestrator | /Users/cj/.codex/skills/adaptive-self-heal-orchestrator/SKILL.md
PASS: AGENTS skill path check | archivist-grand-audit-engine | /Users/cj/.codex/skills/archivist-grand-audit-engine/SKILL.md
PASS: AGENTS skill path check | batch-outcome-planner | /Users/cj/.codex/skills/batch-outcome-planner/SKILL.md
PASS: AGENTS skill path check | build-agent-kernel | /Users/cj/.codex/skills/build-agent-kernel/SKILL.md
PASS: AGENTS skill path check | centennial-dev | /Users/cj/.codex/skills/centennial-dev/SKILL.md
PASS: AGENTS skill path check | context-compaction-awareness | /Users/cj/.codex/skills/context-compaction-awareness/SKILL.md
PASS: AGENTS skill path check | craft-gate | /Users/cj/.codex/skills/craft-gate/SKILL.md
PASS: AGENTS skill path check | complexity-budget-enforcer | /Users/cj/.codex/skills/user/complexity-budget-enforcer/SKILL.md
PASS: AGENTS skill path check | evidence-bundle | /Users/cj/.codex/skills/evidence-bundle/SKILL.md
PASS: AGENTS skill path check | five-batch-truth-summary | /Users/cj/.codex/skills/five-batch-truth-summary/SKILL.md
PASS: AGENTS skill path check | grand-jury-doc-protocol | /Users/cj/.codex/skills/grand-jury-doc-protocol/SKILL.md
PASS: AGENTS skill path check | grand-jury-protocol | /Users/cj/.codex/skills/grand-jury-protocol/SKILL.md
PASS: AGENTS skill path check | grand-jury-router | /Users/cj/.codex/skills/grand-jury-router/SKILL.md
PASS: AGENTS skill path check | hardened-autopilot-vnext | /Users/cj/.codex/skills/hardened-autopilot-vnext/SKILL.md
PASS: AGENTS skill path check | interloop-orchestrator | /Users/cj/.codex/skills/interloop-orchestrator/SKILL.md
PASS: AGENTS skill path check | model | /Users/cj/.codex/skills/model/SKILL.md
PASS: AGENTS skill path check | decision-latency-limiter | /Users/cj/.codex/skills/user/decision-latency-limiter/SKILL.md
PASS: AGENTS skill path check | feature-graveyard | /Users/cj/.codex/skills/user/feature-graveyard/SKILL.md
PASS: AGENTS skill path check | next-message-suggestion | /Users/cj/.codex/skills/next-message-suggestion/SKILL.md
PASS: AGENTS skill path check | output-minimizer | /Users/cj/.codex/skills/user/output-minimizer/SKILL.md
PASS: AGENTS skill path check | project-kill-switch | /Users/cj/.codex/skills/user/project-kill-switch/SKILL.md
PASS: AGENTS skill path check | reversibility-classifier | /Users/cj/.codex/skills/user/reversibility-classifier/SKILL.md
PASS: AGENTS skill path check | scope-entropy-detector | /Users/cj/.codex/skills/user/scope-entropy-detector/SKILL.md
PASS: AGENTS skill path check | single-thread-force | /Users/cj/.codex/skills/user/single-thread-force/SKILL.md
PASS: AGENTS skill path check | skill-creator | /Users/cj/.codex/skills/.system/skill-creator/SKILL.md
PASS: AGENTS skill path check | skill-installer | /Users/cj/.codex/skills/.system/skill-installer/SKILL.md
PASS: AGENTS skill path check | patchset-planning | /Users/cj/.codex/skills/patchset-planning/SKILL.md
PASS: AGENTS skill path check | pdf | /Users/cj/.codex/skills/pdf/SKILL.md
PASS: AGENTS skill path check | start | /Users/cj/.codex/skills/start/SKILL.md
PASS: AGENTS skill path check | fix | /Users/cj/.codex/skills/fix/SKILL.md
PASS: AGENTS skill path check | ship | /Users/cj/.codex/skills/ship/SKILL.md
PASS: AGENTS skill path check | ship-gate | /Users/cj/.codex/skills/ship-gate/SKILL.md
PASS: AGENTS skill path check | write-to-decision-compressor | /Users/cj/.codex/skills/user/write-to-decision-compressor/SKILL.md
PASS: AGENTS skill path check | stop-rail | /Users/cj/.codex/skills/stop-rail/SKILL.md
PASS: AGENTS skill path check | strike-plan | /Users/cj/.codex/skills/strike-plan/SKILL.md
PASS: AGENTS skill path check | thread-governor | /Users/cj/.codex/skills/user/thread-governor/SKILL.md
PASS: AGENTS skill path check | response-max-effort-governor | /Users/cj/.codex/skills/response-max-effort-governor/SKILL.md
PASS: Repo-local AGENTS.md check | present for /Users/cj/Workspace/active/sworn
PASS: CURRENT_SESSION validation
PASS: Contract scan | skipped
